2021-02-09T15:41:18.782345664Z stderr F I0209 15:41:18.780078       1 registry.go:173] Registering SelectorSpread plugin
2021-02-09T15:41:18.78239307Z stderr F I0209 15:41:18.780149       1 registry.go:173] Registering SelectorSpread plugin
2021-02-09T15:41:19.921021824Z stderr F I0209 15:41:19.918560       1 serving.go:331] Generated self-signed cert in-memory
2021-02-09T15:41:25.928393298Z stderr F W0209 15:41:25.927937       1 requestheader_controller.go:193] Unable to get configmap/extension-apiserver-authentication in kube-system.  Usually fixed by 'kubectl create rolebinding -n kube-system ROLEBINDING_NAME --role=extension-apiserver-authentication-reader --serviceaccount=YOUR_NS:YOUR_SA'
2021-02-09T15:41:25.928460576Z stderr F W0209 15:41:25.928052       1 authentication.go:294] Error looking up in-cluster authentication configuration: configmaps "extension-apiserver-authentication" is forbidden: User "system:kube-scheduler" cannot get resource "configmaps" in API group "" in the namespace "kube-system"
2021-02-09T15:41:25.928492229Z stderr F W0209 15:41:25.928088       1 authentication.go:295] Continuing without authentication configuration. This may treat all requests as anonymous.
2021-02-09T15:41:25.928501408Z stderr F W0209 15:41:25.928110       1 authentication.go:296] To require authentication configuration lookup to succeed, set --authentication-tolerate-lookup-failure=false
2021-02-09T15:41:25.97130578Z stderr F I0209 15:41:25.970800       1 registry.go:173] Registering SelectorSpread plugin
2021-02-09T15:41:25.971354366Z stderr F I0209 15:41:25.970866       1 registry.go:173] Registering SelectorSpread plugin
2021-02-09T15:41:25.979706452Z stderr F I0209 15:41:25.979212       1 configmap_cafile_content.go:202] Starting client-ca::kube-system::extension-apiserver-authentication::client-ca-file
2021-02-09T15:41:25.97973971Z stderr F I0209 15:41:25.979320       1 shared_informer.go:240] Waiting for caches to sync for client-ca::kube-system::extension-apiserver-authentication::client-ca-file
2021-02-09T15:41:25.979751452Z stderr F I0209 15:41:25.979425       1 tlsconfig.go:240] Starting DynamicServingCertificateController
2021-02-09T15:41:25.979845468Z stderr F I0209 15:41:25.979329       1 secure_serving.go:197] Serving securely on 127.0.0.1:10259
2021-02-09T15:41:25.987481406Z stderr F E0209 15:41:25.987039       1 reflector.go:127] k8s.io/apiserver/pkg/server/dynamiccertificates/configmap_cafile_content.go:206: Failed to watch *v1.ConfigMap: failed to list *v1.ConfigMap: configmaps "extension-apiserver-authentication" is forbidden: User "system:kube-scheduler" cannot list resource "configmaps" in API group "" in the namespace "kube-system"
2021-02-09T15:41:25.993320213Z stderr F E0209 15:41:25.991947       1 reflector.go:127] k8s.io/client-go/informers/factory.go:134: Failed to watch *v1.Service: failed to list *v1.Service: services is forbidden: User "system:kube-scheduler" cannot list resource "services" in API group "" at the cluster scope
2021-02-09T15:41:25.99587927Z stderr F E0209 15:41:25.995529       1 reflector.go:127] k8s.io/client-go/informers/factory.go:134: Failed to watch *v1.CSINode: failed to list *v1.CSINode: csinodes.storage.k8s.io is forbidden: User "system:kube-scheduler" cannot list resource "csinodes" in API group "storage.k8s.io" at the cluster scope
2021-02-09T15:41:25.998751208Z stderr F E0209 15:41:25.998435       1 reflector.go:127] k8s.io/client-go/informers/factory.go:134: Failed to watch *v1.ReplicationController: failed to list *v1.ReplicationController: replicationcontrollers is forbidden: User "system:kube-scheduler" cannot list resource "replicationcontrollers" in API group "" at the cluster scope
2021-02-09T15:41:26.00762789Z stderr F E0209 15:41:26.007168       1 reflector.go:127] k8s.io/client-go/informers/factory.go:134: Failed to watch *v1.Pod: failed to list *v1.Pod: pods is forbidden: User "system:kube-scheduler" cannot list resource "pods" in API group "" at the cluster scope
2021-02-09T15:41:26.008135778Z stderr F E0209 15:41:26.007615       1 reflector.go:127] k8s.io/client-go/informers/factory.go:134: Failed to watch *v1.StorageClass: failed to list *v1.StorageClass: storageclasses.storage.k8s.io is forbidden: User "system:kube-scheduler" cannot list resource "storageclasses" in API group "storage.k8s.io" at the cluster scope
2021-02-09T15:41:26.008434313Z stderr F E0209 15:41:26.007924       1 reflector.go:127] k8s.io/client-go/informers/factory.go:134: Failed to watch *v1.Node: failed to list *v1.Node: nodes is forbidden: User "system:kube-scheduler" cannot list resource "nodes" in API group "" at the cluster scope
2021-02-09T15:41:26.008558896Z stderr F E0209 15:41:26.008182       1 reflector.go:127] k8s.io/client-go/informers/factory.go:134: Failed to watch *v1.PersistentVolumeClaim: failed to list *v1.PersistentVolumeClaim: persistentvolumeclaims is forbidden: User "system:kube-scheduler" cannot list resource "persistentvolumeclaims" in API group "" at the cluster scope
2021-02-09T15:41:26.008752338Z stderr F E0209 15:41:26.008510       1 reflector.go:127] k8s.io/client-go/informers/factory.go:134: Failed to watch *v1.ReplicaSet: failed to list *v1.ReplicaSet: replicasets.apps is forbidden: User "system:kube-scheduler" cannot list resource "replicasets" in API group "apps" at the cluster scope
2021-02-09T15:41:26.008941842Z stderr F E0209 15:41:26.008689       1 reflector.go:127] k8s.io/client-go/informers/factory.go:134: Failed to watch *v1beta1.PodDisruptionBudget: failed to list *v1beta1.PodDisruptionBudget: poddisruptionbudgets.policy is forbidden: User "system:kube-scheduler" cannot list resource "poddisruptionbudgets" in API group "policy" at the cluster scope
2021-02-09T15:41:26.011053825Z stderr F E0209 15:41:26.008898       1 reflector.go:127] k8s.io/client-go/informers/factory.go:134: Failed to watch *v1.StatefulSet: failed to list *v1.StatefulSet: statefulsets.apps is forbidden: User "system:kube-scheduler" cannot list resource "statefulsets" in API group "apps" at the cluster scope
2021-02-09T15:41:26.011099623Z stderr F E0209 15:41:26.009098       1 reflector.go:127] k8s.io/client-go/informers/factory.go:134: Failed to watch *v1.PersistentVolume: failed to list *v1.PersistentVolume: persistentvolumes is forbidden: User "system:kube-scheduler" cannot list resource "persistentvolumes" in API group "" at the cluster scope
